fish,date,depth_mean_day,depth_mean_night,Temperature_1m
Cod_9032,08/08/2013,19.77109312,19.53724138,20.50741667
Cod_9032,09/08/2013,20.57127572,20.09673759,20.225875
Cod_9032,10/08/2013,20.88170543,19.85386861,20.03920833
Cod_9032,11/08/2013,20.85636015,19.87288889,19.94420833
Cod_9032,12/08/2013,21.5951711,19.85913669,19.84075
Cod_9032,13/08/2013,22.32105469,19.82368794,19.34533333
Cod_9032,14/08/2013,22.11334646,21.87150685,19.13895833
Cod_9032,15/08/2013,22.23715556,21.92833333,19.15495833
Cod_9032,16/08/2013,21.62679688,21.98335878,19.14341667
Cod_9032,17/08/2013,22.72188235,20.33779528,19.13125
Cod_9032,18/08/2013,18.4380315,20.44622642,19.08775
Cod_9032,19/08/2013,19.08644068,19.0925,18.65558333
Cod_9032,20/08/2013,16.81114094,19.406,17.93033333
Cod_9032,21/08/2013,18.55895288,19.34,17.76808696
Cod_9032,22/08/2013,20.979,18.52678571,17.732125
Cod_9032,23/08/2013,19.41910256,19.01,17.89883333
Cod_9032,24/08/2013,15.54801724,10.02182692,18.31870833
Cod_9032,25/08/2013,15.05104762,9.584782609,18.16016667
Cod_9032,26/08/2013,16.650625,10.77213675,18.20775
Cod_9032,27/08/2013,15.92569892,9.82828125,18.37033333
Cod_9032,28/08/2013,13.15386667,9.971849315,18.46558333
Cod_9032,29/08/2013,12.58416667,5.802340426,18.46554167
Cod_9032,30/08/2013,NA,11.32615385,18.46730435
Cod_9032,31/08/2013,20.77,6.291754386,18.37054167
Cod_9032,01/09/2013,10.26130435,3.715681818,17.84708333
Cod_9032,02/09/2013,8.447142857,3.335142857,17.70854167
Cod_9032,03/09/2013,13.99714286,6.722666667,17.752
Cod_9032,04/09/2013,8.8985,6.4416,17.973875
Cod_9032,05/09/2013,9.884705882,1.546923077,17.78375
Cod_9032,06/09/2013,18.02907563,3.192068966,17.74416667
Cod_9032,07/09/2013,NA,3.15779661,17.8075
Cod_9032,08/09/2013,11.61833333,2.417857143,17.89458333
Cod_9032,09/09/2013,15.41571429,2.487391304,17.73625
Cod_9032,10/09/2013,6.75,2.825897436,17.439
Cod_9032,11/09/2013,6.95030303,3.630897436,17.60545833
Cod_9032,12/09/2013,11.88888889,2.234318182,17.67291667
Cod_9032,13/09/2013,15.8775,3.210540541,17.502375
Cod_9032,14/09/2013,NA,2.705918367,17.58975
Cod_9032,15/09/2013,8.831,NA,17.49445833
Cod_9032,16/09/2013,5.0025,2.181153846,17.14141667
Cod_9032,17/09/2013,5.064580153,2.146578947,16.69695833
Cod_9032,18/09/2013,4.269731544,1.567058824,16.30808333
Cod_9032,19/09/2013,4.336214286,1.862857143,16.33579167
Cod_9032,20/09/2013,5.439798658,1.795,16.09370833
Cod_9032,21/09/2013,4.43620438,1.815,15.791375
Cod_9032,22/09/2013,3.639777778,1.636666667,16.12108333
Cod_9032,23/09/2013,7.175529412,1.8,16.41120833
Cod_9032,24/09/2013,6.215671642,1.706060606,15.89495833
Cod_9032,25/09/2013,3.76625,1.655294118,15.54879167
Cod_9032,26/09/2013,5.7305,1.883448276,15.22654167
Cod_9032,27/09/2013,6.556571429,1.989310345,14.76833333
Cod_9032,28/09/2013,7.212894737,2.245526316,14.417
Cod_9032,29/09/2013,7.387777778,1.927,14.429125
Cod_9032,30/09/2013,5.556111111,2.4772,14.20970833
Cod_9032,01/10/2013,5.95028777,2.451428571,13.934
Cod_9032,02/10/2013,4.75031746,2.521,13.838
Cod_9032,03/10/2013,5.071889764,1.905806452,13.782
Cod_9032,04/10/2013,5.518,2.386923077,13.582
Cod_9032,05/10/2013,10.07555556,1.754675325,13.4815
Cod_9032,06/10/2013,12.38375,2.878,13.786
Cod_9032,07/10/2013,14.78,6.323571429,13.48541667
Cod_9032,08/10/2013,18.13,4.564444444,13.68995833
Cod_9032,09/10/2013,NA,11.55111111,13.67375
Cod_9032,10/10/2013,NA,NA,14.30054167
Cod_9032,11/10/2013,NA,5.4612,12.38808333
Cod_9032,12/10/2013,8.191428571,3.068589744,12.4285
Cod_9032,13/10/2013,NA,3.05115942,12.485125
Cod_9032,14/10/2013,18.61529412,18.97333333,12.44108333
Cod_9032,15/10/2013,12.5273913,4.567916667,12.38470833
Cod_9032,16/10/2013,18.614,18.32666667,12.21104167
Cod_9032,17/10/2013,18.35,17.43628571,12.11808333
Cod_9032,18/10/2013,10.54777778,6.069014085,11.77454167
Cod_9032,19/10/2013,10.13666667,18.6525,11.564375
Cod_9032,20/10/2013,11.04166667,10.9775,11.297
Cod_9032,21/10/2013,16.13955556,14.145,11.08595833
Cod_9032,22/10/2013,17.57666667,18.16681818,10.76875
Cod_9032,23/10/2013,6.647981651,8.178172043,10.88683333
Cod_9032,24/10/2013,9.320965517,2.297307692,10.82975
Cod_9032,25/10/2013,12.6117757,2.241691176,10.732
Cod_9032,26/10/2013,13.53458333,2.829,10.79720833
Cod_9032,27/10/2013,12.1525,5.289404762,10.91129167
Cod_9032,28/10/2013,7.38,2.257559055,10.980375
Cod_9032,29/10/2013,8.80625,4.584262295,10.83370833
Cod_9032,30/10/2013,11.52166667,2.809032258,10.82966667
Cod_9032,31/10/2013,9.455238095,2.453039216,10.45854167
Cod_9032,01/11/2013,8.57862069,2.825765766,10.91104167
Cod_9032,02/11/2013,8.712307692,2.78007874,11.27283333
Cod_9032,03/11/2013,6.706666667,2.613333333,10.72729167
Cod_9032,04/11/2013,4.596842105,2.485735294,10.88330769
Cod_9032,05/11/2013,6.571746032,2.194117647,11.00875
Cod_9032,06/11/2013,7.999365079,2.317653061,11.21179167
Cod_9032,07/11/2013,6.58592,2.203092784,10.832875
Cod_9032,08/11/2013,6.875675676,2.381530612,9.527
Cod_9032,09/11/2013,3.717850467,2.334492754,10.55266667
Cod_9032,10/11/2013,5.985714286,4.508325123,10.14466667
Cod_9032,11/11/2013,6.183083333,5.186553398,8.4305
Cod_9032,12/11/2013,6.126666667,3.296460177,9.03125
Cod_9032,13/11/2013,5.877545455,3.315,8.778125
Cod_9032,14/11/2013,3.01675,2.569370629,8.939875
Cod_9032,15/11/2013,2.678461538,3.128025478,10.17979167
Cod_9032,16/11/2013,3.512195122,2.705840708,9.309666667
Cod_9032,17/11/2013,3.959041096,4.039479769,8.962666667
Cod_9032,18/11/2013,5.37987013,2.572631579,9.5435625
Cod_9032,19/11/2013,6.0586,4.325820896,9.4020625
Cod_9032,20/11/2013,5.713366337,2.848356164,10.07221429
Cod_9032,21/11/2013,6.760754717,5.400940171,11.89175
